x,y,z
-100.286710,108.596695,1.675303
-100.311717,108.867045,1.675143
-100.334842,109.141365,1.674988
-100.355736,109.419032,1.674885
-100.374021,109.699513,1.674781
-100.389763,109.982387,1.674688
-100.403474,110.267268,1.674639
-100.415600,110.553774,1.674631
-100.426512,110.841565,1.674657
-100.436630,111.130336,1.674715
-100.446314,111.419791,1.674802
-100.455804,111.709688,1.674911
-100.465300,111.999845,1.675034
-100.474971,112.290091,1.675162
-100.484952,112.580276,1.675289
-100.495359,112.870269,1.675407
-100.506298,113.159930,1.675514
-100.517862,113.449152,1.675609
-100.530134,113.737919,1.675688
-100.543180,114.026184,1.675747
-100.557043,114.313855,1.675791
-100.571753,114.600947,1.675820
-100.587325,114.887522,1.675831
-100.603736,115.173581,1.675825
-100.620948,115.459142,1.675806
-100.638916,115.744263,1.675774
-100.657581,116.028995,1.675734
-100.676869,116.313382,1.675689
-100.696705,116.597484,1.675642
-100.717005,116.881363,1.675595
-100.737690,117.165072,1.675550
-100.758691,117.448673,1.675512
-100.779948,117.732272,1.675480
-100.801402,118.015970,1.675453
-100.822991,118.299799,1.675431
-100.844653,118.583787,1.675414
-100.866333,118.867977,1.675402
-100.887977,119.152390,1.675394
-100.909531,119.437041,1.675390
-100.930940,119.721948,1.675391
-100.952145,120.007128,1.675394
-100.973095,120.292577,1.675400
-100.993745,120.578293,1.675411
-101.014051,120.864312,1.675425
-101.033987,121.150647,1.675440
-101.053521,121.437285,1.675457
-101.072620,121.724218,1.675473
-101.091266,122.011442,1.675488
-101.109449,122.298937,1.675502
-101.127158,122.586681,1.675513
-101.144388,122.874653,1.675521
-101.161140,123.162831,1.675527
-101.177419,123.451188,1.675529
-101.193227,123.739701,1.675530
-101.208565,124.028346,1.675528
-101.223441,124.317101,1.675525
-101.237861,124.605947,1.675520
-101.251832,124.894863,1.675514
-101.265358,125.183834,1.675507
-101.278445,125.472843,1.675500
-101.291097,125.761878,1.675493
-101.303320,126.050927,1.675485
-101.315117,126.339978,1.675478
-101.326493,126.629025,1.675471
-101.337449,126.918050,1.675462
-101.347979,127.207030,1.675456
-101.358081,127.495983,1.675451
-101.367762,127.784925,1.675447
-101.377023,128.073844,1.675443
-101.385867,128.362731,1.675437
-101.394298,128.651552,1.675433
-101.402323,128.940331,1.675431
-101.409944,129.229115,1.675430
-101.417169,129.517896,1.675428
-101.424002,129.806666,1.675427
-101.430448,130.095438,1.675426
-101.436509,130.384215,1.675425
-101.442196,130.672991,1.675423
-101.447513,130.961769,1.675421
-101.452450,131.250546,1.675418
-101.457000,131.539301,1.675415
-101.461178,131.828049,1.675413
-101.464984,132.116817,1.675410
-101.468407,132.405598,1.675408
-101.471445,132.694386,1.675405
-101.474104,132.983192,1.675402
-101.476380,133.272015,1.675399
-101.478266,133.560850,1.675395
-101.479767,133.849701,1.675392
-101.480888,134.138570,1.675388
-101.481629,134.427456,1.675385
-101.481992,134.716360,1.675381
-101.481980,135.005284,1.675377
-101.481597,135.294228,1.675373
-101.480848,135.583190,1.675369
-101.479740,135.872168,1.675365
-101.478280,136.161161,1.675361
-101.476476,136.450162,1.675356
-101.474337,136.739167,1.675351
