x,y
-72.583225,69.550290
-72.796048,69.763193
-73.008949,69.976073
-73.221862,70.189036
-73.434751,70.402139
-73.647600,70.615435
-73.860344,70.828927
-74.072898,71.042573
-74.285330,71.256466
-74.497673,71.470634
-74.709922,71.684850
-74.922216,71.898708
-75.134721,72.111921
-75.347448,72.324533
-75.560340,72.536726
-75.773375,72.748609
-75.986416,72.960186
-76.198939,73.171106
-76.410651,73.381185
-76.621806,73.590738
-76.832536,73.799934
-77.042823,74.008741
-77.252809,74.217268
-77.462638,74.425633
-77.672352,74.633702
-77.882023,74.841123
-78.091762,75.047592
-78.301655,75.252942
-78.511771,75.457244
-78.722172,75.660783
-78.932904,75.863831
-79.144004,76.066603
-79.355497,76.269320
-79.567414,76.472127
-79.779831,76.674901
-79.992869,76.877341
-80.206626,77.079215
-80.421141,77.280447
-80.636382,77.481198
-80.852270,77.681732
-81.068738,77.882239
-81.285768,78.082696
-81.503406,78.282860
-81.721701,78.482485
-81.940678,78.681426
-82.160306,78.879725
-82.380478,79.077673
-82.601075,79.275569
-82.822021,79.473547
-83.043327,79.671475
-83.265062,79.869067
-83.487284,80.066096
-83.710018,80.262449
-83.933208,80.458276
-84.156740,80.653898
-84.380522,80.849559
-84.604481,81.045447
-84.828542,81.241740
-85.052684,81.438414
-85.276981,81.635137
-85.501520,81.831559
-85.726362,82.027444
-85.951549,82.222639
-86.177036,82.417272
-86.402712,82.611673
-86.628487,82.806091
-86.854287,83.000715
-87.080039,83.195728
-87.305730,83.391112
-87.531446,83.586537
-87.757289,83.781663
-87.983331,83.976270
-88.209601,84.170296
-88.436046,84.363954
-88.662586,84.557530
-88.889159,84.751227
-89.115706,84.945225
-89.342178,85.139651
-89.568608,85.334343
-89.795100,85.528927
-90.021742,85.723110
-90.248591,85.916724
-90.475646,86.109812
-90.702835,86.302645
-90.930084,86.495480
-91.157336,86.688500
-91.384528,86.881895
-91.611607,87.075782
-91.838578,87.270016
-92.065482,87.464288
-92.292325,87.658393
-92.519074,87.852254
-92.745672,88.045978
-92.972020,88.239867
-93.197975,88.434248
-93.423366,88.629417
-93.647983,88.825682
-93.871577,89.023332
-94.093894,89.222599
-94.314668,89.423679
-94.533617,89.626748
-94.750477,89.831934
-94.965019,90.039320
-95.177043,90.248964
-95.386381,90.460911
-95.592900,90.675184
-95.796493,90.891797
-95.997078,91.110753
-96.194581,91.332065
-96.388782,91.555852
-96.579273,91.782330
-96.765676,92.011706
-96.947676,92.244128
-97.124909,92.479728
-97.297058,92.718604
-97.464097,92.960700
-97.626242,93.205817
-97.783692,93.453747
-97.936622,93.704314
-98.085236,93.957377
-98.229607,94.212872
-98.369403,94.470865
-98.504086,94.731487
-98.633251,94.994803
-98.756568,95.260823
-98.873795,95.529500
-98.985357,95.800568
-99.092657,96.073450
-99.197185,96.347545
-99.299893,96.622445
-99.400904,96.898022
-99.499587,97.174437
-99.595216,97.451864
-99.687079,97.730422
-99.774411,98.010251
-99.856619,98.291421
-99.933490,98.573822
-100.005177,98.857291
-100.071930,99.141809
-100.133964,99.427318
-100.191498,99.713695
-100.244732,100.000881
-100.293818,100.288837
-100.338896,100.577495
-100.380149,100.866813
-100.417788,101.156781
-100.452005,101.447383
-100.482975,101.738605
-100.510846,102.030454
-100.535731,102.322944
-100.557721,102.616101
-100.576891,102.909959
-100.593326,103.204527
-100.607130,103.499824
-100.618424,103.795881
-100.627445,104.092646
-100.634686,104.389898
-100.640700,104.687381
-100.645873,104.984900
-100.650508,105.282277
-100.654878,105.579340
-100.659208,105.875937
-100.663680,106.171931
