x,y
-148.883852,207.076498
-148.844161,207.377380
-148.796782,207.675943
-148.742019,207.972370
-148.680266,208.266869
-148.611924,208.559736
-148.537409,208.851271
-148.457192,209.141738
-148.371866,209.431443
-148.282174,209.720711
-148.189055,210.009836
-148.093618,210.299076
-147.997083,210.588600
-147.900600,210.878482
-147.804976,211.168736
-147.710773,211.459377
-147.618403,211.750423
-147.528189,212.041917
-147.440462,212.333957
-147.355517,212.626662
-147.273549,212.920124
-147.194698,213.214350
-147.119054,213.509307
-147.046689,213.804980
-146.977651,214.101342
-146.911885,214.398307
-146.849311,214.695793
-146.789921,214.993759
-146.733742,215.292168
-146.680822,215.590900
-146.631302,215.889362
-146.585414,216.187117
-146.543386,216.484417
-146.505398,216.781459
-146.471604,217.078273
-146.442163,217.375044
-146.417220,217.671977
-146.396929,217.969149
-146.381495,218.266618
-146.371189,218.564413
-146.366264,218.862415
-146.366847,219.160278
-146.372987,219.457596
-146.384701,219.754105
-146.401793,220.049702
-146.423953,220.344429
-146.451511,220.638231
-146.485304,220.930904
-146.525914,221.222262
-146.573605,221.512094
-146.628560,221.800054
-146.691282,222.085799
-146.762566,222.369001
-146.842702,222.649344
-146.931421,222.926560
-147.028447,223.200457
-147.133511,223.470911
-147.246191,223.737852
-147.366077,224.001234
-147.492881,224.260995
-147.626334,224.517077
-147.766173,224.769424
-147.912161,225.017981
-148.064072,225.262714
-148.221700,225.503577
-148.384877,225.740511
-148.553437,225.973471
-148.727203,226.202429
-148.905981,226.427376
-149.089547,226.648307
-149.277687,226.865222
-149.470270,227.078154
-149.667152,227.287109
-149.868159,227.492087
-150.073127,227.693111
-150.281908,227.890202
-150.494345,228.083385
-150.710259,228.272726
-150.929476,228.458298
-151.151838,228.640149
-151.377190,228.818329
-151.605374,228.992939
-151.836240,229.164087
-152.069663,229.331865
-152.305526,229.496347
-152.543714,229.657601
-152.784116,229.815712
-153.026612,229.970775
-153.271102,230.122875
-153.517417,230.272257
-153.764894,230.419305
-154.012691,230.564357
-154.260741,230.708247
-154.509135,230.851906
-154.757612,230.995862
-155.006057,231.140374
-155.254522,231.285594
-155.502938,231.431592
-155.751211,231.578377
-155.999311,231.725946
-156.247182,231.874293
-156.494812,232.023442
-156.742200,232.173428
-156.989308,232.324266
-157.236098,232.475977
-157.482557,232.628585
-157.728671,232.782095
-157.974430,232.936504
-158.219829,233.091813
-158.464840,233.247998
-158.709403,233.405008
-158.953596,233.562873
-159.197503,233.721604
-159.441127,233.881131
-159.684500,234.041398
-159.927677,234.202373
-160.170681,234.363999
-160.413530,234.526215
-160.656233,234.689009
-160.898573,234.852637
-161.139897,235.017928
-161.379503,235.185949
-161.616796,235.357528
-161.851053,235.533362
-162.081496,235.714169
-162.307508,235.900484
-162.528597,236.092584
-162.744356,236.290649
-162.954511,236.494767
-163.158879,236.704852
-163.357329,236.920724
-163.549779,237.142189
-163.736202,237.369016
